fit_time,score_time,test_f1,train_f1,test_accuracy,train_accuracy,model,fold
0.29369378089904785,0.03481602668762207,0.4666666666666667,0.7068965517241379,0.8528735632183908,0.9218390804597701,ada,2
0.8046245574951172,0.03128361701965332,0.40816326530612246,0.90625,0.8666666666666667,0.9724137931034482,gb,0
0.8046245574951172,0.03128361701965332,0.4761904761904762,0.889763779527559,0.8735632183908046,0.967816091954023,gb,1
0.8073716163635254,0.03127312660217285,0.42,0.9111969111969112,0.8666666666666667,0.9735632183908046,gb,2
0.39908266067504883,0.03125572204589844,0.46464646464646464,1.0,0.8781609195402299,1.0,xgb,0
0.43033838272094727,0.026170969009399414,0.4954128440366973,1.0,0.8735632183908046,1.0,xgb,1
0.39908266067504883,0.01562666893005371,0.46601941747572817,1.0,0.8735632183908046,1.0,xgb,2
0.2656822204589844,0.0264742374420166,0.4742268041237114,1.0,0.8827586206896552,1.0,lgb,0
0.27126288414001465,0.019066333770751953,0.43564356435643564,1.0,0.8689655172413793,1.0,lgb,1
0.2812643051147461,0.02170395851135254,0.41666666666666663,1.0,0.871264367816092,1.0,lgb,2
0.04732561111450195,0.024411678314208984,0.5691056910569106,0.6042553191489362,0.8781609195402299,0.8931034482758621,logres_tuned_random,0
0.04732561111450195,0.028415203094482422,0.5937499999999999,0.6072874493927125,0.8804597701149425,0.8885057471264368,logres_tuned_random,1
0.04732561111450195,0.024411678314208984,0.5614035087719298,0.6153846153846153,0.8850574712643678,0.896551724137931,logres_tuned_random,2
0.0672149658203125,0.02750420570373535,0.5528455284552846,0.5454545454545455,0.8735632183908046,0.8735632183908046,sgd_tuned_random,0
0.05117464065551758,0.015039443969726562,0.5269461077844312,0.5723076923076923,0.8183908045977012,0.8402298850574713,sgd_tuned_random,1
0.047174930572509766,0.015039443969726562,0.5170068027210883,0.5776397515527951,0.8367816091954023,0.8436781609195402,sgd_tuned_random,2
0.2456986904144287,0.034612178802490234,0.48543689320388345,0.6124401913875598,0.8781609195402299,0.906896551724138,xgb_tuned_random,0
0.28278660774230957,0.027081966400146484,0.5333333333333333,0.6545454545454545,0.8873563218390804,0.9126436781609195,xgb_tuned_random,1
0.1728222370147705,0.04087471961975098,0.5050505050505051,0.6604651162790697,0.8873563218390804,0.9160919540229885,xgb_tuned_random,2
0.8243350982666016,0.07861471176147461,0.53781512605042,0.768595041322314,0.8735632183908046,0.9356321839080459,ada_tuned_random,0
0.8686439990997314,0.06253290176391602,0.5354330708661418,0.8110236220472441,0.864367816091954,0.9448275862068966,ada_tuned_random,1
0.8541216850280762,0.07406353950500488,0.5040650406504066,0.8015873015873015,0.8597701149425288,0.9425287356321839,ada_tuned_random,2
0.05803680419921875,0.030576467514038086,0.6231884057971014,0.6113207547169811,0.8804597701149425,0.8816091954022989,logres_tuned_bayes,0
0.05602288246154785,0.031562089920043945,0.5931034482758621,0.5964912280701754,0.864367816091954,0.867816091954023,logres_tuned_bayes,1
0.04902839660644531,0.029565811157226562,0.5396825396825397,0.6300366300366301,0.8666666666666667,0.8839080459770114,logres_tuned_bayes,2
0.03639054298400879,0.015037775039672852,0.5263157894736843,0.6046511627906976,0.8758620689655172,0.9022988505747126,sgd_tuned_bayes,0
0.03338432312011719,0.015037775039672852,0.5737704918032787,0.632034632034632,0.8804597701149425,0.9022988505747126,sgd_tuned_bayes,1
0.04441428184509277,0.015675783157348633,0.5333333333333333,0.6203703703703703,0.8873563218390804,0.9057471264367816,sgd_tuned_bayes,2
0.18700361251831055,0.018187761306762695,0.5272727272727273,0.874015748031496,0.8804597701149425,0.9632183908045977,xgb_tuned_bayes,0
0.19199490547180176,0.013196468353271484,0.5641025641025642,0.8880308880308881,0.8827586206896552,0.9666666666666667,xgb_tuned_bayes,1
0.159898042678833,0.020010709762573242,0.5309734513274337,0.9111969111969112,0.8781609195402299,0.9735632183908046,xgb_tuned_bayes,2
0.8781933784484863,0.07474136352539062,0.6341463414634148,0.7583333333333333,0.896551724137931,0.9333333333333333,ada_tuned_bayes,0
0.8781933784484863,0.07259845733642578,0.546875,0.7773279352226722,0.8666666666666667,0.9367816091954023,ada_tuned_bayes,1
0.926748514175415,0.05926871299743652,0.5365853658536586,0.7839999999999999,0.8689655172413793,0.9379310344827586,ada_tuned_bayes,2
